ano;tipo;valor_bilhoes
2015;exp_br;24,037439900
2015;imp_usa;27,473620048
2016;exp_br;23,155033824
2016;imp_usa;26,043371004
2017;exp_br;26,872491075
2017;imp_usa;29,461613229
2018;exp_br;28,697187835
2018;imp_usa;31,203047235
2019;exp_br;29,715896624
2019;imp_usa;30,934128999
2020;exp_br;21,471033994
2020;imp_usa;23,363615837
2021;exp_br;31,145209269
2021;imp_usa;31,236663983
2022;exp_br;37,437814354
2022;imp_usa;38,909316096
2023;exp_br;36,915459733
2023;imp_usa;39,060502224
2024;exp_br;40,368569157
2024;imp_usa;42,348411089
