ano;tipo;valor_bilhoes
2015;imp_br;27,723444497
2015;exp_usa;26,505564719
2016;imp_br;24,927448840
2016;exp_usa;25,541077194
2017;imp_br;29,010837495
2017;exp_usa;31,843227443
2018;imp_br;34,235027951
2018;exp_usa;34,000957998
2019;imp_br;36,294478014
2019;exp_usa;36,927955258
2020;imp_br;29,380909654
2020;exp_usa;29,568741171
2021;imp_br;41,184749218
2021;exp_usa;40,794076469
2022;imp_br;53,909840019
2022;exp_usa;47,075874571
2023;imp_br;39,727331868
2023;exp_usa;37,240988722
2024;imp_br;42,483615914
2024;exp_usa;40,825189980
