ano;tipo;valor_bilhoes
2015;imp_br;27,723444497
2015;exp_usa;31,640538352
2016;imp_br;24,927448840
2016;exp_usa;30,193264308
2017;imp_br;29,010837495
2017;exp_usa;37,330688140
2018;imp_br;34,235027951
2018;exp_usa;39,400347658
2019;imp_br;36,294478014
2019;exp_usa;42,862723730
2020;imp_br;29,380909654
2020;exp_usa;34,591765452
2021;imp_br;41,184749218
2021;exp_usa;46,986998292
2022;imp_br;53,909840019
2022;exp_usa;54,432504656
2023;imp_br;39,727331868
2023;exp_usa;44,539201887
2024;imp_br;42,483615914
2024;exp_usa;49,136108132
