ano;tipo;valor_bilhoes
2015;imp_br;26,480395048
2015;exp_usa;26,505564719
2016;imp_br;23,816439862
2016;exp_usa;25,541077194
2017;imp_br;27,809786079
2017;exp_usa;31,843227443
2018;imp_br;32,831387703
2018;exp_usa;34,000957998
2019;imp_br;34,774253640
2019;exp_usa;36,927955258
2020;imp_br;27,875749399
2020;exp_usa;29,568741171
2021;imp_br;39,385250785
2021;exp_usa;40,794076469
2022;imp_br;51,304351542
2022;exp_usa;47,075874571
2023;imp_br;37,958896968
2023;exp_usa;37,240988722
2024;imp_br;40,652417455
2024;exp_usa;40,825189980
